Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1706809888,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1706809889,10,,Aggregated,0.000000,0.000000,920,920,930,930,930,930,930,930,930,930,930,10,0,920.0,916.1169499999687,895.1951999997618,933.3176000000094,12655.0
1706809890,30,,Aggregated,0.000000,0.000000,900,920,920,920,930,930,930,930,930,930,930,20,0,560.0,727.5084399999969,526.2348999999631,933.3176000000094,12655.0
1706809891,40,,Aggregated,0.000000,0.000000,540,560,900,920,920,930,930,930,930,930,930,32,0,540.0,652.5124093749781,495.06320000000414,933.3176000000094,12655.0
1706809892,50,,Aggregated,10.000000,0.000000,550,570,580,900,920,930,930,930,930,930,930,50,0,540.0,613.2011959999727,491.5940999999293,933.3176000000094,12655.0
1706809893,60,,Aggregated,10.666667,0.000000,540,560,570,580,900,920,930,930,930,930,930,73,0,540.0,585.5037205479265,491.5940999999293,933.3176000000094,12655.0
1706809894,70,,Aggregated,12.250000,0.000000,530,550,570,570,670,920,930,930,930,930,930,102,0,530.0,566.5693294117461,488.7736999999106,933.3176000000094,12655.0
1706809895,80,,Aggregated,14.400000,0.000000,530,540,560,570,630,920,930,930,930,930,930,136,0,530.0,556.7266838235159,487.57049999994706,933.3176000000094,12655.0
1706809896,90,,Aggregated,16.500000,0.000000,520,540,550,560,580,900,920,930,930,930,930,171,0,520.0,547.635335087711,487.57049999994706,933.3176000000094,12655.0
1706809897,100,,Aggregated,19.142857,0.000000,520,540,550,560,570,710,920,930,930,930,930,205,0,520.0,542.5238141463278,487.57049999994706,933.3176000000094,12655.0
1706809898,110,,Aggregated,21.125000,0.000000,520,540,550,560,580,670,920,930,930,930,930,251,0,520.0,542.3691537848499,487.57049999994706,933.3176000000094,12655.0
1706809899,120,,Aggregated,22.333333,0.000000,520,540,560,570,610,670,920,930,930,930,930,300,0,520.0,543.4176473333218,487.57049999994706,933.3176000000094,12655.0
1706809900,130,,Aggregated,24.500000,0.000000,520,540,560,570,610,650,920,920,930,930,930,341,0,520.0,542.8222777125968,487.57049999994706,933.3176000000094,12655.0
1706809901,140,,Aggregated,29.000000,0.000000,520,540,560,570,610,650,900,920,1600,1600,1600,404,0,520.0,546.318953712852,487.57049999994706,1575.1295999998547,12655.0
1706809902,150,,Aggregated,31.700000,0.000000,520,540,560,570,610,650,900,920,1600,1600,1600,457,0,520.0,544.3610684901364,487.57049999994706,1575.1295999998547,12655.0
1706809903,160,,Aggregated,36.500000,0.000000,520,560,580,590,670,930,1200,1400,3800,3800,3800,492,0,520.0,585.3171711381984,487.57049999994706,3799.5717000003424,12655.0
1706809904,170,,Aggregated,40.100000,0.000000,530,570,610,680,1000,1200,1400,1500,3800,3800,3800,566,0,530.0,640.2392763250758,487.57049999994706,3799.5717000003424,12655.0
1706809905,180,,Aggregated,39.200000,0.000000,540,580,630,740,1000,1200,1400,1400,3800,3800,3800,637,0,540.0,643.1115268445733,487.57049999994706,3799.5717000003424,12655.0
1706809906,190,,Aggregated,45.400000,0.000000,540,580,620,660,1000,1200,1400,1500,3800,3800,3800,703,0,540.0,637.2960102418134,487.57049999994706,3799.5717000003424,12655.0
1706809907,200,,Aggregated,49.200000,0.000000,540,580,630,710,960,1200,1400,1500,3800,3800,3800,773,0,540.0,636.0380126778736,487.57049999994706,3799.5717000003424,12655.0
