Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,11659,0,500.0,530.4881974183025,484.75550000011935,3515.660999999909,12655.0,38.89578101242246,0.0,500,510,510,510,530,570,1100,1500,1700,3400,3500
,Aggregated,11659,0,500.0,530.4881974183025,484.75550000011935,3515.660999999909,12655.0,38.89578101242246,0.0,500,510,510,510,530,570,1100,1500,1700,3400,3500
