Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1706810212,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1706810213,10,,Aggregated,0.000000,0.000000,840,840,870,880,880,880,880,880,880,880,880,9,0,840.0,852.2968333332351,836.0588000000462,876.0143999998036,12655.0
1706810214,30,,Aggregated,0.000000,0.000000,840,840,840,870,880,1900,1900,1900,1900,1900,1900,19,0,840.0,775.6990473683943,523.7837999998192,1870.7516000004034,12655.0
1706810215,40,,Aggregated,0.000000,0.000000,590,840,840,840,880,1600,1900,1900,1900,1900,1900,32,0,580.0,709.904100000017,493.22879999999714,1870.7516000004034,12655.0
1706810216,50,,Aggregated,9.500000,0.000000,550,580,600,840,870,1600,1600,1900,1900,1900,1900,53,0,550.0,655.3986018868342,491.7468000003282,1870.7516000004034,12655.0
1706810217,60,,Aggregated,10.666667,0.000000,540,560,570,590,840,880,1600,1900,1900,1900,1900,78,0,540.0,612.2167448718301,491.7468000003282,1870.7516000004034,12655.0
1706810218,70,,Aggregated,12.750000,0.000000,540,550,560,570,840,880,1600,1900,1900,1900,1900,99,0,540.0,592.8798181818516,490.3506999999081,1870.7516000004034,12655.0
1706810219,80,,Aggregated,12.750000,0.000000,530,550,560,570,600,870,1600,1600,1900,1900,1900,135,0,530.0,581.7412525926152,490.26370000001407,1870.7516000004034,12655.0
1706810220,90,,Aggregated,16.000000,0.000000,530,550,560,570,600,840,1500,1600,1900,1900,1900,170,0,530.0,570.6561629412003,490.26370000001407,1870.7516000004034,12655.0
1706810221,100,,Aggregated,16.000000,0.000000,530,550,560,560,590,840,1500,1600,1900,1900,1900,200,0,530.0,568.9231470000071,490.26370000001407,1870.7516000004034,12655.0
1706810222,100,,Aggregated,20.875000,0.000000,530,550,570,590,720,840,1500,1600,1900,1900,1900,247,0,530.0,579.5532838056686,490.26370000001407,1870.7516000004034,12655.0
1706810223,100,,Aggregated,22.222222,0.000000,530,550,560,580,710,840,880,1600,1900,1900,1900,290,0,530.0,572.7238106896571,490.26370000001407,1870.7516000004034,12655.0
1706810224,100,,Aggregated,24.200000,0.000000,520,540,560,570,670,810,880,1500,1900,1900,1900,327,0,520.0,564.7249302752306,490.0384999996277,1870.7516000004034,12655.0
1706810225,100,,Aggregated,27.300000,0.000000,510,540,550,560,630,790,870,1500,1900,1900,1900,367,0,510.0,557.9265882833756,489.61289999988367,1870.7516000004034,12655.0
1706810226,100,,Aggregated,30.300000,0.000000,510,530,550,560,620,790,870,1500,1900,1900,1900,399,0,510.0,553.1756112781953,489.61289999988367,1870.7516000004034,12655.0
1706810227,100,,Aggregated,33.300000,0.000000,510,520,540,560,600,780,850,1500,1900,1900,1900,440,0,510.0,548.3920599999991,489.61289999988367,1870.7516000004034,12655.0
1706810228,100,,Aggregated,34.400000,0.000000,510,520,540,550,590,760,840,1500,1900,1900,1900,482,0,500.0,544.0862991701231,489.61289999988367,1870.7516000004034,12655.0
1706810229,100,,Aggregated,35.600000,0.000000,510,520,540,550,590,750,840,880,1900,1900,1900,520,0,510.0,541.7049961538474,489.61289999988367,1870.7516000004034,12655.0
1706810230,100,,Aggregated,38.400000,0.000000,500,520,530,540,590,730,840,1500,1900,1900,1900,559,0,500.0,540.7753898032212,487.6275000001442,1870.7516000004034,12655.0
1706810231,100,,Aggregated,37.200000,0.000000,500,520,530,540,580,720,840,1500,1900,1900,1900,597,0,500.0,540.1758775544404,487.6275000001442,1870.7516000004034,12655.0
1706810232,100,,Aggregated,38.900000,0.000000,500,510,530,540,570,710,840,1500,1900,1900,1900,635,0,500.0,539.5403203149576,487.6275000001442,1870.7516000004034,12655.0
1706810233,100,,Aggregated,38.900000,0.000000,500,510,530,540,570,680,840,1500,1900,1900,1900,681,0,500.0,537.7809387665191,486.99459999988903,1870.7516000004034,12655.0
1706810234,100,,Aggregated,38.500000,0.000000,500,510,530,540,570,680,840,1500,1900,1900,1900,714,0,500.0,537.9505634453777,486.99459999988903,1870.7516000004034,12655.0
1706810235,100,,Aggregated,39.300000,0.000000,500,510,520,530,570,670,840,1500,1900,1900,1900,759,0,500.0,536.9530533596854,486.99459999988903,1870.7516000004034,12655.0
1706810236,100,,Aggregated,38.900000,0.000000,500,510,530,540,590,790,1100,1500,1900,1900,1900,791,0,500.0,548.9661943110001,486.99459999988903,1870.7516000004034,12655.0
1706810237,100,,Aggregated,38.700000,0.000000,500,510,530,540,590,780,1100,1500,1900,1900,1900,833,0,500.0,548.438521968786,486.99459999988903,1870.7516000004034,12655.0
1706810238,100,,Aggregated,36.900000,0.000000,500,510,530,540,590,780,1100,1500,1900,1900,1900,873,0,500.0,546.3126331042372,486.99459999988903,1870.7516000004034,12655.0
1706810239,100,,Aggregated,39.300000,0.000000,500,510,530,540,590,760,1100,1500,1900,1900,1900,905,0,500.0,545.0877200000008,486.99459999988903,1870.7516000004034,12655.0
1706810240,100,,Aggregated,38.000000,0.000000,500,510,520,530,590,760,1100,1500,1900,1900,1900,947,0,500.0,545.283244772967,486.99459999988903,1870.7516000004034,12655.0
1706810241,100,,Aggregated,39.200000,0.000000,500,510,520,530,580,760,1100,1500,1900,1900,1900,978,0,500.0,543.9744977505097,486.99459999988903,1870.7516000004034,12655.0
