Method,Name,Error,Occurrences
GET,/,RemoteDisconnected('Remote end closed connection without response'),3
GET,/,"ConnectionAbortedError(10053, 'Uma conexão estabelecida foi anulada pelo software no computador host', None, 10053, None)",9
GET,/,HTTPError('500 Server Error: Internal Server Error for url: /'),16368
GET,/,"ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None)",2254
