Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1706809564,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1706809565,10,,Aggregated,0.000000,0.000000,560,560,560,570,570,570,570,570,570,570,570,10,0,560.0,553.4251799999765,531.5113000001475,567.4615000002632,12655.0
1706809566,20,,Aggregated,0.000000,0.000000,550,560,560,560,570,570,570,570,570,570,570,20,0,540.0,546.2445900000148,521.5718000004017,568.0853000003481,12655.0
1706809567,30,,Aggregated,10.000000,0.000000,540,550,560,560,560,570,570,570,570,570,570,37,0,540.0,537.3450567567611,493.72919999996157,568.0853000003481,12655.0
1706809568,40,,Aggregated,10.000000,0.000000,540,550,550,560,560,570,570,570,570,570,570,52,0,540.0,534.5550730769271,493.72919999996157,568.0853000003481,12655.0
1706809569,60,,Aggregated,11.666667,0.000000,530,540,550,550,560,570,570,1600,1600,1600,1600,77,0,530.0,540.6097909090965,493.6533000000054,1566.6558999996596,12655.0
1706809570,70,,Aggregated,13.000000,0.000000,520,540,550,550,560,560,570,570,1600,1600,1600,102,0,520.0,535.3705598039435,493.6533000000054,1566.6558999996596,12655.0
1706809571,80,,Aggregated,15.000000,0.000000,520,540,550,550,560,570,570,1500,1600,1600,1600,128,0,520.0,539.5740945312753,491.3165999996636,1566.6558999996596,12655.0
1706809572,90,,Aggregated,16.833333,0.000000,520,540,550,550,560,590,1600,1600,1600,1600,1600,171,0,520.0,554.0276643275096,486.98689999991984,1575.5262999996376,12655.0
1706809573,100,,Aggregated,17.714286,0.000000,510,530,550,550,560,580,1600,1600,1600,1600,1600,198,0,510.0,548.8741646464895,486.98689999991984,1575.5262999996376,12655.0
1706809574,110,,Aggregated,20.875000,0.000000,510,530,540,550,560,570,1500,1600,1600,1600,1600,246,0,510.0,542.2024052845809,486.98689999991984,1575.5262999996376,12655.0
1706809575,120,,Aggregated,21.777778,0.000000,510,530,540,550,560,580,1500,1600,1600,1600,1600,294,0,510.0,544.5214360544479,486.98689999991984,1575.5262999996376,12655.0
1706809576,130,,Aggregated,24.200000,0.000000,510,530,550,550,570,600,1500,1600,1600,1600,1600,346,0,510.0,546.1485939306556,486.98689999991984,1575.5262999996376,12655.0
1706809577,140,,Aggregated,27.700000,0.000000,510,530,540,550,570,600,1500,1600,1600,1600,1600,395,0,510.0,545.3006587341961,486.98689999991984,1575.5262999996376,12655.0
1706809578,150,,Aggregated,31.700000,0.000000,510,530,550,550,570,610,660,1600,1600,1600,1600,454,0,510.0,543.9657746696208,486.98689999991984,1575.5262999996376,12655.0
1706809579,160,,Aggregated,35.200000,0.000000,510,530,550,550,580,610,660,1600,1600,1600,1600,518,0,510.0,543.524261776077,486.98689999991984,1635.5188000002272,12655.0
